date,L_1,L_2,L_3,L_4,L_5,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
1/23/2024,2,5,11,15,22,0,3,0,0,1,1,1,0,0,0,1,0,2,1,2,1,0,0,1,1,2,3,0,2,0,0,0,2,0,1,3,0,0,0,0,0,0,1,1
1/24/2024,6,9,10,24,30,0,1,1,0,1,1,0,0,1,2,2,1,1,0,1,0,1,1,0,0,0,0,1,2,0,2,0,1,0,2,1,1,1,1,0,2,1,1,0
1/25/2024,16,17,22,32,37,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,2,0,2,0,1,1,2,1,1,2,1,0,2,0,2,2,1,0
1/26/2024,8,19,21,23,32,0,1,0,0,0,1,0,1,3,0,1,0,1,1,1,0,2,0,1,0,2,2,1,0,1,2,1,0,2,0,0,1,1,1,1,0,1,1,0
1/27/2024,4,10,15,22,34,0,0,0,2,2,0,0,1,0,2,3,0,0,0,3,0,0,0,2,0,0,1,0,1,2,1,1,0,0,0,1,1,1,1,1,1,0,2,1
1/28/2024,6,7,12,21,31,0,0,0,1,0,2,1,0,0,1,0,1,2,0,1,3,2,1,0,0,1,2,0,1,1,1,0,2,0,1,1,2,1,1,0,0,1,0,0
1/29/2024,9,10,17,28,29,1,0,0,0,0,0,0,1,3,1,0,0,1,1,1,1,3,0,0,1,1,3,1,1,1,0,0,1,1,1,2,1,0,0,2,0,1,0,0
1/30/2024,5,10,13,25,26,0,0,0,0,2,0,1,3,2,1,0,1,2,0,0,0,1,0,0,0,0,0,1,1,1,1,0,3,0,1,1,1,2,0,0,1,0,1,3
1/31/2024,17,25,31,34,38,2,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,1,0,0,1,1,3,1,1,1,3,0,0,1,1,1,0,0,2,1,0,1,2,1
2/1/2024,4,7,9,11,29,1,1,0,1,0,1,1,0,2,2,2,1,0,1,1,2,0,1,1,1,0,1,2,0,1,1,0,1,1,0,1,1,0,0,0,0,0,2,0
2/2/2024,3,4,21,24,27,0,1,1,1,1,2,1,0,1,0,0,0,1,0,1,1,0,0,0,1,2,0,0,1,1,2,4,2,1,1,1,1,0,0,1,1,0,0,0
